,City,Country,Lat,Lng,Hotel Name
9,pushkinskiye gory,RU,57.02,28.91,
12,avarua,CK,-21.21,-159.78,
59,bontang,ID,0.12,117.47,
69,fortuna,ES,38.18,-1.13,
86,nikolskoye,RU,59.7,30.79,
87,ambilobe,MG,-13.19,49.05,
91,bella vista,AR,-28.51,-59.05,
97,katsuura,JP,33.93,134.5,
104,mbigou,GA,-1.9,11.91,
116,xam nua,LA,20.42,104.04,
135,kibaya,RW,-2.2,30.56,
159,manado,ID,1.49,124.85,
164,kathmandu,NP,27.71,85.32,
165,norman wells,CA,65.28,-126.83,
190,saint-georges,CA,46.12,-70.67,
211,labuhan,ID,-2.54,115.51,
223,koronowo,PL,53.31,17.94,
229,aketi,CD,2.74,23.78,
231,mocuba,MZ,-16.84,36.99,
234,katobu,ID,-4.94,122.53,
235,banjar,ID,-7.37,108.54,
243,buchach,UA,49.06,25.39,
284,kibakwe,TZ,-6.71,36.37,
302,alofi,NU,-19.06,-169.92,
310,airai,TL,-8.93,125.41,
315,miraflores,CO,5.2,-73.14,
327,kizukuri,JP,40.81,140.39,
338,port shepstone,ZA,-30.74,30.45,
352,biak,ID,-0.91,122.88,
358,alyangula,AU,-13.85,136.42,
360,fort nelson,CA,58.81,-122.69,
361,boyolangu,ID,-8.09,111.9,
380,kayseri,TR,38.73,35.48,
381,quanzhou,CN,24.9,118.59,
385,santa maria,BR,-29.69,-53.81,
393,juiz de fora,BR,-21.76,-43.35,
401,kalabo,ZM,-15.0,22.67,
402,sambava,MG,-14.27,50.17,
414,kalat,PK,29.03,66.58,
451,anan,JP,33.91,134.64,
468,san cristobal,EC,-0.39,-78.55,
478,samarinda,ID,-0.5,117.14,
514,loikaw,MM,19.67,97.21,
522,raudeberg,NO,61.99,5.14,
